#Cluster_number cluster_annotation	
1	Zglomerulosa_1
2	Endothelial_2
3	Macrophages_3
4	Endothelial_4
5	Cortex_5
6	Mesenchymal_6
7	Cortex_7
8	Macrophages_8
9	Cortex_9
10	Glial_10
11	Chromaffin_mature_11
12	Ambiguous_12
13	Capsule_13
14	Macrophages_14
15	Chromaffin_immature_15
16	Zfasciculata_16
17	Tcells_17
18	Tcells_18
19	Bcells_19

