#Cluster_number	cluster_annotation
1	Progenitor_1
2	Macrophages_2
3	Zfasciculata_3
4	Chromaffin_4
5	Zglomerulosa_5
6	Endothellial_6
7	Mesenchymal_7
8	Zreticularis_8
9	Cortex_9
10	Tcells_10
