#Gene	Cell_type_lessEql_01
RBMS3-AS3	SCPs
CYB5B	SCPs
HSPB6	SCPs
MYLIP	SCPs
NRXN3	SCPs
SSR2	SCPs
YBX3	SCPs
CYP11A1	SCPs
PEG10	SCPs
GNG11	SCPs
NDUFA4	SCPs
PDIA6	SCPs
MXRA8	SCPs
C4orf3	SCPs
C10orf11	SCPs
SOCS3	SCPs
ZNF503	SCPs
COL15A1	SCPs
IGF2BP2	SCPs
AXL	SCPs
LAMA4	SCPs
IRF1	SCPs
CTNNB1	SCPs
POR	SCPs
SPG20	SCPs
SCN7A	SCPs
SYNGR1	SCPs
SOAT1	SCPs
ANKRD50	SCPs
SH3BP5	SCPs
BTG1	SCPs
SEPP1	SCPs
HADHB	SCPs
DST	SCPs
BGN	SCPs
LAMB2	SCPs
BST2	SCPs
GPX8	SCPs
TPD52L1	SCPs
TMEM47	SCPs
EFEMP2	SCPs
SPRY2	SCPs
AIF1L	SCPs
TSPAN6	SCPs
HMG20B	SCPs
RAB34	SCPs
CHL1	SCPs
H2AFJ	SCPs
S100A4	SCPs
RBPMS	SCPs
LTBP1	SCPs
IGFBP7	SCPs
LDHB	SCPs
ENDOD1	SCPs
DLX2	SCPs
ISG15	SCPs
VPREB3	SCPs
HDDC2	SCPs
PPIF	SCPs
KLF6	SCPs
ANXA5	SCPs
REST	SCPs
P4HA1	SCPs
TMEM258	SCPs
MC2R	SCPs
ITGAV	SCPs
KLF2	SCPs
GLTP	SCPs
TMEM98	SCPs
LAMB1	SCPs
GJA1	SCPs
ATP1B3	SCPs
COL14A1	SCPs
RRBP1	SCPs
DUSP6	SCPs
PPIB	SCPs
RNF130	SCPs
MIR202HG	SCPs
MT1E	SCPs
MDFIC	SCPs
ITM2A	SCPs
NR2F1	SCPs
IRS1	SCPs
HLA-E	SCPs
PLAGL1	SCPs
SPRY1	SCPs
JUNB	SCPs
ZNF536	SCPs
TBX3	SCPs
FCGRT	SCPs
CREB3L2	SCPs
TNXB	SCPs
IER2	SCPs
TCF7L2	SCPs
BTG2	SCPs
SLC23A2	SCPs
CALU	SCPs
XKR4	SCPs
IL11RA	SCPs
TCEA3	SCPs
EEF1A1	SCPs
PRDX6	SCPs
CLRN1	SCPs
ADI1	SCPs
HOTAIRM1	SCPs
PHGDH	SCPs
PHACTR2	SCPs
CYTL1	SCPs
SDCBP	SCPs
RBM47	SCPs
P3H2	SCPs
APOA1	SCPs
NFE2L2	SCPs
DDIT4	SCPs
BCL2L12	SCPs
BAMBI	SCPs
P4HB	SCPs
RCN1	SCPs
C11orf96	SCPs
LMNA	SCPs
DBI	SCPs
ST3GAL4	SCPs
GRB14	SCPs
LUZP1	SCPs
FAM126A	SCPs
HSP90B1	SCPs
COL6A2	SCPs
HOPX	SCPs
FOSB	SCPs
PTN	SCPs
TAX1BP3	SCPs
C8orf4	SCPs
EGR1	SCPs
SHMT1	SCPs
TJP1	SCPs
HLA-B	SCPs
FAM195A	SCPs
NOTCH2	SCPs
EGFLAM	SCPs
PMP22	SCPs
MATN2	SCPs
SERPINB6	SCPs
CYP17A1	SCPs
LMCD1	SCPs
SULT2A1	SCPs
SHFM1	SCPs
2-Sep	SCPs
TRAM1	SCPs
CELF2	SCPs
DAAM2	SCPs
KIF13B	SCPs
EVA1B	SCPs
CMTM3	SCPs
VGLL4	SCPs
ECI2	SCPs
ARRDC3	SCPs
CTDSPL	SCPs
DECR1	SCPs
DMD	SCPs
SPP1	SCPs
LDLR	SCPs
QPRT	SCPs
KLF4	SCPs
MYH7B	SCPs
SAT2	SCPs
HOXA5	SCPs
ADGRV1	SCPs
FIGN	SCPs
LPP	SCPs
LIMCH1	SCPs
IGFBP5	SCPs
HLA-C	SCPs
SSR3	SCPs
OSR2	SCPs
EPHX1	SCPs
TMBIM6	SCPs
CYP11B1	SCPs
CPB1	SCPs
ACSS1	SCPs
GSTO1	SCPs
TGFB1I1	SCPs
CAST	SCPs
GALM	SCPs
PAPSS2	SCPs
CTNNA1	SCPs
PMEPA1	SCPs
VMP1	SCPs
SIGLEC11	SCPs
SFRP1	SCPs
CCND3	SCPs
MCF2	SCPs
MESDC2	SCPs
TMED9	SCPs
LIMS1	SCPs
SERTAD1	SCPs
PVRL2	SCPs
GSDMD	SCPs
C1orf198	SCPs
ZNF275	SCPs
CMTM8	SCPs
CUEDC2	SCPs
SNHG25	SCPs
MGST2	SCPs
GIPC2	SCPs
ABCA1	SCPs
HSPA1B	SCPs
LDHA	SCPs
ASPH	SCPs
SNAP23	SCPs
PPP1R15A	SCPs
NOB1	SCPs
FAM162A	SCPs
BBX	SCPs
SPTBN1	SCPs
SCARB2	SCPs
MTAP	SCPs
NDUFC1	SCPs
MRPL50	SCPs
AGRN	SCPs
SNX5	SCPs
PRKCA	SCPs
RCBTB2	SCPs
DAP	SCPs
MAN1A1	SCPs
VAMP5	SCPs
NBEAL1	SCPs
MBNL2	SCPs
PCGF5	SCPs
SDHD	SCPs
SCP2	SCPs
ARID5B	SCPs
ACTN4	SCPs
ZG16B	SCPs
GRAMD1B	SCPs
SSFA2	SCPs
AMHR2	SCPs
C7	SCPs
7-Sep	SCPs
SDHC	SCPs
SERP1	SCPs
HSPA12A	SCPs
PELO	SCPs
RAP1A	SCPs
ABHD2	SCPs
DNAJB4	SCPs
NOSTRIN	SCPs
CCDC8	SCPs
MRAP	SCPs
SLC39A10	SCPs
FLRT3	SCPs
BIRC7	SCPs
DHCR24	SCPs
MPG	SCPs
FAM3C	SCPs
ENO1	SCPs
ROMO1	SCPs
CASP9	SCPs
IKBKAP	SCPs
APRT	SCPs
MAP3K1	SCPs
PHLDA3	SCPs
TXN2	SCPs
DNAJB1	SCPs
DPP10-AS1	SCPs
DPM3	SCPs
PBXIP1	SCPs
EIF5B	SCPs
REXO2	SCPs
MLEC	SCPs
SCARB1	SCPs
15-Sep	SCPs
HES4	SCPs
CSRP1	SCPs
PLXDC2	SCPs
GULP1	SCPs
PRPF4B	SCPs
CLNS1A	SCPs
VAPA	SCPs
IL6ST	SCPs
ZFAND5	SCPs
SKAP2	SCPs
FBL	SCPs
ACADVL	SCPs
ERGIC3	SCPs
ZFP36L2	SCPs
SERBP1	SCPs
PKN2	SCPs
NPM3	SCPs
TPT1-AS1	SCPs
ALAS1	SCPs
SERPINA5	SCPs
ELOVL1	SCPs
SLC16A1	SCPs
CEBPB	SCPs
IMPDH2	SCPs
HEY1	SCPs
UGCG	SCPs
HIF3A	SCPs
WSB1	SCPs
CCND2	SCPs
DDIT3	SCPs
S100A6	SCPs
CD59	SCPs
SCPEP1	SCPs
ALDH9A1	SCPs
TXNIP	SCPs
PRCP	SCPs
CDC73	SCPs
TMEM256	SCPs
LEPROT	SCPs
PRR13	SCPs
STK19	SCPs
GRPEL1	SCPs
C8orf33	SCPs
NR5A1	SCPs
LINC00998	SCPs
CADM4	SCPs
PACSIN3	SCPs
MRPS28	SCPs
PSMB8	SCPs
TSPAN18	SCPs
PRKAR1A	SCPs
CTSA	SCPs
DCTD	SCPs
BZW2	SCPs
PRDX3	SCPs
OXR1	SCPs
RND3	SCPs
COA4	SCPs
GPC1	SCPs
LSR	SCPs
SMAD5	SCPs
LSM14A	SCPs
C10orf10	SCPs
CTSC	SCPs
MAFF	SCPs
KLHDC8B	SCPs
MOB4	SCPs
UBL3	SCPs
PUF60	SCPs
BCL7C	SCPs
ALDH1A2	SCPs
DUSP5	SCPs
MCL1	SCPs
TP53I13	SCPs
FGF12	SCPs
REEP6	SCPs
AKAP7	SCPs
HOXB7	SCPs
NR4A1	SCPs
PHB	SCPs
ENO3	SCPs
DFNB31	SCPs
LMAN1	SCPs
C14orf1	SCPs
SLC39A1	SCPs
GNAI2	SCPs
ING2	SCPs
TAPBP	SCPs
DHRS4L2	SCPs
TMEM123	SCPs
SLC16A9	SCPs
PSAT1	SCPs
PSME2	SCPs
GALNT2	SCPs
PLTP	SCPs
TEX264	SCPs
SLC26A2	SCPs
C14orf119	SCPs
UBXN2A	SCPs
SGCE	SCPs
CTDSP2	SCPs
CD46	SCPs
RORA	SCPs
DNPH1	SCPs
GPC6	SCPs
NFKBIA	SCPs
CMTM6	SCPs
PPP1R14A	SCPs
ITGB1	SCPs
ID1	SCPs
CREM	SCPs
SIVA1	SCPs
IGF2	SCPs
NQO2	SCPs
PHF20L1	SCPs
RWDD4	SCPs
SCD5	SCPs
MRPL10	SCPs
SECISBP2L	SCPs
BRE	SCPs
TMEM97	SCPs
TMED10	SCPs
SH3BGRL	SCPs
SFT2D1	SCPs
ARL14EP	SCPs
