#hugo	sublist
SLC35D1	negative_c
VPS53	negative_c
HOXC9	negative_c
RABEP1	negative_c
C12ORF71	negative_c
PHLDB1	negative_c
CORO2B	negative_c
MACF1	negative_c
TMEM178A	negative_c
GTF2IRD2B	negative_c
ECEL1	negative_c
SPTAN1	negative_c
SESTD1	negative_c
FBN3	negative_c
ADPRHL1	negative_c
RAPH1	negative_c
PDE10A	negative_c
CAMTA2	negative_c
PCDHA11	negative_c
C22ORF43	negative_c
LOC400499	negative_c
HERC1	negative_c
SLC43A2	negative_c
INPP1	negative_c
RBMS3	negative_c
NRK	negative_c
CLASP2	negative_c
MIAT	negative_c
FAM228A	negative_c
PCDHA2	negative_c
NAGK	negative_c
CASZ1	negative_c
COL7A1	negative_c
PTBP2	negative_c
KLHL34	negative_c
PLEKHA6	negative_c
MIR137HG	negative_c
GCNT2	negative_c
GALNTL1	negative_c
SLC18A1	negative_c
ZNF445	negative_c
TPT1-AS1	negative_c
GTF2IRD2P1	negative_c
ACAP3	negative_c
DST	negative_c
DOCK4	negative_c
ZNF540	negative_c
CSRNP3	negative_c
ABCG4	negative_c
LOC100506124	negative_c
FAM219B	negative_c
MLLT4-AS1	negative_c
MED23	negative_c
SLCO3A1	negative_c
POLR2J4	negative_c
DRD2	negative_c
SOX6	negative_c
CAB39	negative_c
CERS4	negative_c
SCN3B	negative_c
TTC7A	negative_c
APBA2	negative_c
OVCA2	negative_c
PANX2	negative_c
PCDHA10	negative_c
SEZ6	negative_c
MAP2K4	negative_c
PCDHGB6	negative_c
SH3BP5-AS1	negative_c
ZEB2	negative_c
USP24	negative_c
CCBE1	negative_c
PALM	negative_c
NTRK1	negative_c
TNRC18	negative_c
DLG5	negative_c
HMX1	negative_c
IKZF4	negative_c
TUBB1	negative_c
LINC00341	negative_c
IMPG1	negative_c
SENP7	negative_c
UBXN4	negative_c
PIRT	negative_c
CELSR3	negative_c
CD47	negative_c
PMP22	negative_c
PCDHA12	negative_c
AGPAT4	negative_c
PI4KAP2	negative_c
PAK7	negative_c
PTPRF	negative_c
LOC100510707	negative_c
FAM5B	negative_c
MGAT4A	negative_c
ATP2B4	negative_c
PCDHA8	negative_c
PCDHA6	negative_c
AGBL3	negative_c
INPP4B	negative_c
ZNF362	negative_c
DNM3	negative_c
ABCB9	negative_c
SNRK	negative_c
ARTN	negative_c
CNTNAP2	negative_c
MSANTD1	negative_c
NDST3	negative_c
KLRF2	negative_c
ZBTB8A	negative_c
HIC2	negative_c
LCOR	negative_c
LOC100507217	negative_c
RAB15	negative_c
PCDHA7	negative_c
MTMR3	negative_c
LOC100132273	negative_c
UPB1	negative_c
PCDHA13	negative_c
PSD2	negative_c
SPTBN1	negative_c
FRMPD3	negative_c
TRAK1	negative_c
PCDHA9	negative_c
FMNL3	negative_c
HBG2	negative_c
CD44	negative_c
PRKCE	negative_c
PLCL1	negative_c
ZHX2	negative_c
KSR1	negative_c
LMBR1L	negative_c
ABCC5	negative_c
NRCAM	negative_c
IGLL1	negative_c
CHD5	negative_c
GALNT3	negative_c
KIF9-AS1	negative_c
VGLL4	negative_c
DTX4	negative_c
PIK3R1	negative_c
PCDHA5	negative_c
