#hugo	sublist
R3HDM1	negative_c
IL7	negative_c
ZNF335	negative_c
KCNQ3	negative_c
LOC646471	negative_c
NFYC	negative_c
OXTR	negative_c
RCBTB2	negative_c
MYCBP2	negative_c
MAP3K5	negative_c
LPPR4	negative_c
FBXL20	negative_c
AUH	negative_c
RPH3A	negative_c
KIAA1217	negative_c
LOC100652807	negative_c
GUSBP1	negative_c
STAC3	negative_c
HSPA12A	negative_c
GPR123	negative_c
DAB2	negative_c
GABBR1	negative_c
NLGN2	negative_c
SUZ12P1	negative_c
ACRBP	negative_c
LRRC55	negative_c
TRIM55	negative_c
CDH11	negative_c
USP48	negative_c
MBNL2	negative_c
MSN	negative_c
CSGALNACT1	negative_c
FARP1	negative_c
NRIP2	negative_c
TMEM191C	negative_c
PLEKHD1	negative_c
NR2C1	negative_c
TIFAB	negative_c
EFHA2	negative_c
LOC643837	negative_c
CSF2RA	negative_c
PPP1R18	negative_c
MAOA	negative_c
RNF167	negative_c
PGM3	negative_c
DNAJC27-AS1	negative_c
CLK4	negative_c
SHC1	negative_c
TRIM2	negative_c
PABPC5	negative_c
PCDHB12	negative_c
FAM214A	negative_c
DUSP26	negative_c
RGPD6	negative_c
PBX2	negative_c
DNAJB2	negative_c
RORA	negative_c
SYT7	negative_c
BACE1-AS	negative_c
ZDHHC11	negative_c
RP9P	negative_c
LRRC40	negative_c
C10ORF85	negative_c
MED16	negative_c
GOSR1	negative_c
NBPF12	negative_c
ATP8B1	negative_c
CCDC88A	negative_c
LRCH1	negative_c
LENG9	negative_c
B3GALT1	negative_c
ITIH4	negative_c
TMEM25	negative_c
FAM135A	negative_c
BTBD9	negative_c
USP35	negative_c
FLJ13197	negative_c
KIAA0141	negative_c
MTMR7	negative_c
SMARCAL1	negative_c
MPP3	negative_c
VTN	negative_c
KDM4C	negative_c
NKTR	negative_c
BRSK2	negative_c
NRBP2	negative_c
CHD2	negative_c
MIR573	negative_c
SEMA3G	negative_c
ASTN2	negative_c
RGS7	negative_c
COL3A1	negative_c
LOC388820	negative_c
KIAA1549L	negative_c
LOC283177	negative_c
KIF3C	negative_c
AFAP1L1	negative_c
LOC100506472	negative_c
SYT13	negative_c
TXNDC15	negative_c
EFCAB2	negative_c
STON1	negative_c
EPB41L5	negative_c
C17ORF100	negative_c
CCDC158	negative_c
SCARF1	negative_c
LOC100506319	negative_c
COL6A1	negative_c
CYBASC3	negative_c
PSMD6-AS2	negative_c
PDE6C	negative_c
FLJ35390	negative_c
GABARAPL3	negative_c
MPDZ	negative_c
TMEM88	negative_c
RASSF4	negative_c
NCKAP5L	negative_c
RNF38	negative_c
RANGAP1	negative_c
SH3PXD2B	negative_c
AGER	negative_c
MAPK7	negative_c
HECTD3	negative_c
LY6G5B	negative_c
UBE2H	negative_c
BAI3	negative_c
POU6F1	negative_c
LOC100506718	negative_c
ERC1	negative_c
FZD8	negative_c
LOC100506274	negative_c
NAAA	negative_c
MLL5	negative_c
CTNS	negative_c
TPTE2P5	negative_c
CD27-AS1	negative_c
HECA	negative_c
LRRTM4	negative_c
LOC100129269	negative_c
NXF1	negative_c
WTAP	negative_c
PDIA2	negative_c
REM1	negative_c
PI4KAP1	negative_c
ING4	negative_c
DLGAP4	negative_c
PALLD	negative_c
IGSF10	negative_c
PLXNB2	negative_c
TAOK1	negative_c
COL4A3BP	negative_c
ATP9A	negative_c
SCN5A	negative_c
NAALAD2	negative_c
ATP10A	negative_c
SDHAP3	negative_c
LOC338651	negative_c
DPP4	negative_c
GPC1	negative_c
MIB2	negative_c
FLJ30403	negative_c
AKIRIN2	negative_c
DACT3	negative_c
CCDC93	negative_c
LOC100128979	negative_c
TUBGCP6	negative_c
GRIA4	negative_c
TMEM107	negative_c
FBXO21	negative_c
ITGB5	negative_c
PLXNA1	negative_c
SPATA13	negative_c
ATP6V0CP3	negative_c
JAZF1	negative_c
GP1BB	negative_c
ATXN7L2	negative_c
HP1BP3	negative_c
PMF1	negative_c
PLCD4	negative_c
RILP	negative_c
DPYSL5	negative_c
ATPAF2	negative_c
DNAJC17	negative_c
GATA2	negative_c
SAMD11	negative_c
FAIM2	negative_c
CHST12	negative_c
STRC	negative_c
MMP14	negative_c
FLRT1	negative_c
RARA	negative_c
UBR3	negative_c
SLITRK1	negative_c
YWHAH	negative_c
LOC100129148	negative_c
LFNG	negative_c
KDM4A-AS1	negative_c
PDE7B	negative_c
SPARC	negative_c
UCN2	negative_c
SYNJ1	negative_c
SLC8A1	negative_c
MAP2	negative_c
C1ORF63	negative_c
SPAG7	negative_c
C14ORF132	negative_c
ZBTB16	negative_c
SEPT7	negative_c
AGPS	negative_c
IGFN1	negative_c
LRRC4B	negative_c
GNRH1	negative_c
RAB3GAP1	negative_c
PLEKHO2	negative_c
EFHA1	negative_c
HECW1	negative_c
BCL11B	negative_c
APBA1	negative_c
ZNF25	negative_c
CTNND2	negative_c
PBRM1	negative_c
PFN1P2	negative_c
GNB5	negative_c
STXBP5	negative_c
DENND3	negative_c
OGN	negative_c
DHRS13	negative_c
ARHGEF11	negative_c
MYH3	negative_c
ACADVL	negative_c
FAT1	negative_c
IL32	negative_c
BCAT1	negative_c
SNORD55	negative_c
ELFN1	negative_c
FMN2	negative_c
SLC25A12	negative_c
ZNF713	negative_c
KIAA0513	negative_c
PROSAPIP1	negative_c
CLVS2	negative_c
SLC2A11	negative_c
KHDC3L	negative_c
TMEM242	negative_c
ANKRD10	negative_c
FLJ44342	negative_c
NDFIP1	negative_c
MIR4785	negative_c
SKI	negative_c
FHDC1	negative_c
GPR108	negative_c
DNER	negative_c
ABCA3	negative_c
PTPRH	negative_c
ACADS	negative_c
ARHGDIG	negative_c
PICALM	negative_c
TENM3	negative_c
UTP6	negative_c
SIX5	negative_c
RNF207	negative_c
KDR	negative_c
ST7L	negative_c
FCHO2	negative_c
RGS11	negative_c
ELOVL2-AS1	negative_c
PRSS35	negative_c
FLJ12825	negative_c
CD300LF	negative_c
FAM124A	negative_c
SPATS2L	negative_c
SIRT2	negative_c
ZEB2-AS1	negative_c
C8ORF4	negative_c
PSMG3-AS1	negative_c
TFR2	negative_c
KLF12	negative_c
SGK494	negative_c
STAT5B	negative_c
ALG9	negative_c
NADK	negative_c
HES7	negative_c
GPS2	negative_c
COPS3	negative_c
RASSF2	negative_c
YIPF1	negative_c
NOTCH2	negative_c
KIAA0319L	negative_c
SEMA4G	negative_c
ANKRD28	negative_c
PPP1R21	negative_c
C7ORF41	negative_c
IKZF2	negative_c
NF1	negative_c
LOC100130417	negative_c
UBE2J1	negative_c
ECT2L	negative_c
TRERF1	negative_c
ARAP3	negative_c
DCLK3	negative_c
PHF19	negative_c
TMEM62	negative_c
LOC390937	negative_c
C1QTNF4	negative_c
LOC401320	negative_c
TMEM178B	negative_c
SH3TC2	negative_c
ANKRD36B	negative_c
ZSWIM7	negative_c
SNORD124	negative_c
MIR631	negative_c
LOC100130000	negative_c
GLIS3	negative_c
MARCKSL1	negative_c
AOAH	negative_c
PAQR7	negative_c
ANKRD13B	negative_c
ECM1	negative_c
ABLIM2	negative_c
INPP4A	negative_c
CDKN1B	negative_c
PNISR	negative_c
C1ORF52	negative_c
BSDC1	negative_c
PLA2G7	negative_c
FNBP1	negative_c
ADD3	negative_c
COL1A1	negative_c
LRRD1	negative_c
PDP1	negative_c
GPRASP1	negative_c
ZDHHC14	negative_c
RHBDD1	negative_c
TRAPPC1	negative_c
GSTM2P1	negative_c
TSSK3	negative_c
RPA1	negative_c
NPEPPS	negative_c
C10ORF111	negative_c
TRPV2	negative_c
TMTC4	negative_c
MLLT10	negative_c
ICA1L	negative_c
PNMAL2	negative_c
PLA2G4C	negative_c
TECPR2	negative_c
FAM184A	negative_c
KAZN	negative_c
ZDHHC17	negative_c
LOC100862671	negative_c
TNFAIP1	negative_c
USP28	negative_c
CLIC1	negative_c
DSEL	negative_c
HS3ST5	negative_c
GPR20	negative_c
SNTB1	negative_c
BCL6	negative_c
ADCY5	negative_c
VSTM4	negative_c
B3GNT8	negative_c
TUBB2B	negative_c
PLD2	negative_c
LOC100505639	negative_c
DNM1	negative_c
CEBPA	negative_c
MIR324	negative_c
ANKRD6	negative_c
ANO4	negative_c
PRSS53	negative_c
RBP5	negative_c
ANKRD33	negative_c
LOC440934	negative_c
KIAA1161	negative_c
CIC	negative_c
TMEM91	negative_c
CPEB2	negative_c
GMEB1	negative_c
CREB5	negative_c
RUSC1	negative_c
STAT3	negative_c
SLCO4C1	negative_c
PLAC8L1	negative_c
SNAP23	negative_c
ADORA2A-AS1	negative_c
SOGA3	negative_c
TFAMP1	negative_c
GSDMB	negative_c
STX12	negative_c
C1ORF170	negative_c
PIP5KL1	negative_c
CACNB1	negative_c
PLB1	negative_c
FAT3	negative_c
C6ORF89	negative_c
GPR68	negative_c
LOC494127	negative_c
LUC7L2	negative_c
PRPH	negative_c
EWSR1	negative_c
PRRC2B	negative_c
PRRT2	negative_c
NALCN	negative_c
FAM22D	negative_c
RDX	negative_c
WDR91	negative_c
RAB3B	negative_c
PCDHB2	negative_c
NBPF1	negative_c
DIP2C	negative_c
KPNA6	negative_c
MRPS31P5	negative_c
CNNM4	negative_c
CTSK	negative_c
TCTA	negative_c
POU2F2	negative_c
LOC100653309	negative_c
SHANK2	negative_c
ZC3H12C	negative_c
CSNK1E	negative_c
SSBP3	negative_c
AMPH	negative_c
DGKB	negative_c
NCALD	negative_c
KIAA1522	negative_c
ATG16L1	negative_c
RHOT1	negative_c
LEMD3	negative_c
ZSWIM5	negative_c
VAPA	negative_c
HFM1	negative_c
REEP6	negative_c
MAN2C1	negative_c
SYNPR	negative_c
CAMK1D	negative_c
FRY	negative_c
IL34	negative_c
LOC100292680	negative_c
EPC2	negative_c
TACC1	negative_c
DCC	negative_c
HOXC8	negative_c
IFRD1	negative_c
B3GALT6	negative_c
HMGCLL1	negative_c
TAOK2	negative_c
COL1A2	negative_c
SPTB	negative_c
ANKRD13C	negative_c
THRA	negative_c
ADAM1A	negative_c
ENTPD3-AS1	negative_c
PHF10	negative_c
MYO7A	negative_c
OLFM2	negative_c
MYL3	negative_c
REPS1	negative_c
UNK	negative_c
SEPN1	negative_c
MIR1228	negative_c
CPM	negative_c
GAB2	negative_c
PANK4	negative_c
QPCT	negative_c
ZNF366	negative_c
PRPF40B	negative_c
C6ORF136	negative_c
SOCS7	negative_c
EGLN2	negative_c
DCLK1	negative_c
LOC390660	negative_c
PITRM1-AS1	negative_c
SLC47A1	negative_c
GAP43	negative_c
KIFAP3	negative_c
ANXA2P1	negative_c
KCNK3	negative_c
PDE11A	negative_c
SASH1	negative_c
DIXDC1	negative_c
ERCC5	negative_c
CREB1	negative_c
HSPG2	negative_c
LOC100506051	negative_c
FAM126B	negative_c
INS	negative_c
ZNF33A	negative_c
BRICD5	negative_c
CD4	negative_c
PIK3R6	negative_c
PDZD2	negative_c
LINC00476	negative_c
LOC100507642	negative_c
COL6A3	negative_c
MAPK11	negative_c
GINM1	negative_c
PCDH18	negative_c
CELF6	negative_c
LOC100507419	negative_c
REEP3	negative_c
LINC00342	negative_c
SMIM13	negative_c
RAPGEFL1	negative_c
WDR78	negative_c
MYO9B	negative_c
C1ORF198	negative_c
IL11RA	negative_c
S1PR3	negative_c
GPCPD1	negative_c
LMTK3	negative_c
CALM2	negative_c
ARHGEF3	negative_c
JAK1	negative_c
TYW5	negative_c
WDR11	negative_c
PINK1	negative_c
MEOX1	negative_c
POM121L10P	negative_c
LEPREL1	negative_c
ALDH7A1	negative_c
CFLAR	negative_c
KANK3	negative_c
RASGRP3	negative_c
TOM1	negative_c
RTCA	negative_c
ZFYVE19	negative_c
BGLAP	negative_c
VASH1	negative_c
MIR4793	negative_c
STK25	negative_c
TUBB2A	negative_c
MIR1249	negative_c
ADAMTS2	negative_c
ALX3	negative_c
TMEM198B	negative_c
FMN1	negative_c
MYRF	negative_c
MPND	negative_c
TMOD1	negative_c
MIR4697	negative_c
MOB3B	negative_c
HTRA3	negative_c
LHFPL2	negative_c
LOC100131564	negative_c
MIR3605	negative_c
ABCA6	negative_c
C11ORF87	negative_c
ACTG1P4	negative_c
POGZ	negative_c
APAF1	negative_c
PODXL2	negative_c
C1ORF146	negative_c
ACAT1	negative_c
CDH8	negative_c
CCDC149	negative_c
BGN	negative_c
LGALSL	negative_c
CRLF3	negative_c
SERAC1	negative_c
CSRNP2	negative_c
UBE4B	negative_c
OPTN	negative_c
C9ORF72	negative_c
LOC284009	negative_c
ZNF451	negative_c
SYTL2	negative_c
APOL5	negative_c
PQLC1	negative_c
MKNK1	negative_c
ACAD8	negative_c
ATG12	negative_c
ACTN4	negative_c
CAB39L	negative_c
TP53INP1	negative_c
ITSN2	negative_c
APOC1	negative_c
VCAM1	negative_c
RUSC2	negative_c
SGSH	negative_c
TBX20	negative_c
C6ORF211	negative_c
INSR	negative_c
FBXO11	negative_c
LOC100505474	negative_c
VPS54	negative_c
C1ORF213	negative_c
INPP5J	negative_c
GATS	negative_c
LOC253044	negative_c
PLEKHG5	negative_c
LOC100507131	negative_c
PCDH10	negative_c
FAM171A2	negative_c
GPNMB	negative_c
KLKB1	negative_c
NAIP	negative_c
BIVM-ERCC5	negative_c
VAMP1	negative_c
NT5C2	negative_c
LACTB	negative_c
PTN	negative_c
ATRNL1	negative_c
LINC00304	negative_c
ITGB8	negative_c
C11ORF63	negative_c
GOLGA7B	negative_c
PPP4R1	negative_c
KIAA0753	negative_c
DSC2	negative_c
LOC151475	negative_c
TMEM130	negative_c
ALDOC	negative_c
LRRC41	negative_c
UBE3B	negative_c
LOC100506276	negative_c
PID1	negative_c
TBC1D2	negative_c
ACTR1B	negative_c
AFF1	negative_c
LIFR-AS1	negative_c
TNFRSF25	negative_c
MLLT11	negative_c
LOC643696	negative_c
FANCL	negative_c
LOC100288594	negative_c
TTC36	negative_c
MBD5	negative_c
GRHL1	negative_c
N4BP2L1	negative_c
TNFSF15	negative_c
MCF2L2	negative_c
NEXN-AS1	negative_c
RNF135	negative_c
DBH	negative_c
AJUBA	negative_c
FOXJ3	negative_c
CMKLR1	negative_c
SPEG	negative_c
C7ORF55-LUC7L2	negative_c
PUM1	negative_c
AFAP1L2	negative_c
MED9	negative_c
SDCCAG8	negative_c
LOC100130776	negative_c
RAC3	negative_c
C1QTNF3-AMACR	negative_c
C3ORF49	negative_c
MPEG1	negative_c
SCNN1D	negative_c
RASGEF1B	negative_c
TBC1D26	negative_c
PNKD	negative_c
GTF2IRD1	negative_c
LOC100506606	negative_c
CRTC1	negative_c
ZNF821	negative_c
LOC100286925	negative_c
PEX6	negative_c
STON2	negative_c
PRAM1	negative_c
RNF122	negative_c
TMEM63B	negative_c
VPS28	negative_c
NFASC	negative_c
COX19	negative_c
CLSTN1	negative_c
NEURL	negative_c
FLCN	negative_c
CD163L1	negative_c
NRXN2	negative_c
CYLD	negative_c
KIAA1324L	negative_c
HHIPL2	negative_c
STRADB	negative_c
GHRL	negative_c
LHFP	negative_c
RS1	negative_c
ABCA5	negative_c
RPS6KA2	negative_c
ZFP28	negative_c
NXPH4	negative_c
SHF	negative_c
ARHGAP36	negative_c
HRH1	negative_c
RAPGEF2	negative_c
CNTRL	negative_c
ZFYVE27	negative_c
CYB5R3	negative_c
FAM43A	negative_c
RNF112	negative_c
TBC1D8B	negative_c
MAP3K4	negative_c
LOC100506908	negative_c
RAET1L	negative_c
IL18BP	negative_c
LHFPL4	negative_c
CCDC132	negative_c
CCDC82	negative_c
CC2D1B	negative_c
TBC1D12	negative_c
USP33	negative_c
EGFLAM	negative_c
RNF182	negative_c
NID1	negative_c
INPP5B	negative_c
UNKL	negative_c
PIK3CD	negative_c
SZT2	negative_c
NMT1	negative_c
PPP1R3B	negative_c
PLEKHM1	negative_c
LINC00708	negative_c
TNF	negative_c
MAPRE2	negative_c
KIRREL	negative_c
CORO1C	negative_c
CRYBB2P1	negative_c
ZMYND8	negative_c
ATP13A2	negative_c
OPN3	negative_c
MAP4K3	negative_c
LOC100506257	negative_c
KAT6B	negative_c
RREB1	negative_c
UTRN	negative_c
TNFAIP3	negative_c
CLK3	negative_c
RFTN1	negative_c
LYST	negative_c
REEP5	negative_c
FAM63A	negative_c
ADAMDEC1	negative_c
CCDC112	negative_c
LRP5L	negative_c
STAC	negative_c
KIF3A	negative_c
METTL21EP	negative_c
CACNG4	negative_c
LOC100505620	negative_c
ERAL1	negative_c
PPAPDC1A	negative_c
DIRAS3	negative_c
ETNK1	negative_c
PPIP5K2	negative_c
GPR85	negative_c
SERINC1	negative_c
TIMD4	negative_c
GJA5	negative_c
ATP6V0A1	negative_c
IL21R-AS1	negative_c
ERV3-1	negative_c
ZNF76	negative_c
MN1	negative_c
TPO	negative_c
TIAM2	negative_c
AFAP1	negative_c
PIGS	negative_c
PPHLN1	negative_c
BOK	negative_c
RSPRY1	negative_c
COG3	negative_c
DIP2A	negative_c
PDGFB	negative_c
TMSB4X	negative_c
PLA2G2D	negative_c
LOC440300	negative_c
CDKN2D	negative_c
ZCCHC17	negative_c
ZBTB40	negative_c
PKD1L1	negative_c
FLVCR2	negative_c
PDE9A	negative_c
ACSF2	negative_c
LOC158435	negative_c
RHBDL3	negative_c
LOC643529	negative_c
RASL12	negative_c
COL15A1	negative_c
EDN1	negative_c
DBH-AS1	negative_c
SRRM2	negative_c
GPRC5B	negative_c
PAX4	negative_c
LAMA3	negative_c
ZNF154	negative_c
CTSZ	negative_c
ENTPD4	negative_c
GPIHBP1	negative_c
GCSHP3	negative_c
PBX1	negative_c
ACACA	negative_c
TMEM30A	negative_c
MAPK6	negative_c
LRRTM3	negative_c
SHANK2-AS3	negative_c
SPEN	negative_c
TSC1	negative_c
VPS26B	negative_c
TTYH3	negative_c
INSIG2	negative_c
PPT2-EGFL8	negative_c
HAVCR2	negative_c
APC	negative_c
CD34	negative_c
OBSCN	negative_c
ARID3B	negative_c
TBRG1	negative_c
SULT1C2	negative_c
DYNC1LI2	negative_c
MAPK1	negative_c
KIAA1328	negative_c
PTPRO	negative_c
NBPF14	negative_c
KIAA0355	negative_c
PHACTR2	negative_c
SMOC2	negative_c
LPAR1	negative_c
CAMK1G	negative_c
PVRL3	negative_c
NFAM1	negative_c
SH3YL1	negative_c
NHLRC1	negative_c
LOC100129961	negative_c
CDH9	negative_c
UBE2O	negative_c
CRYGS	negative_c
RPAP3	negative_c
LRRC66	negative_c
LRRN3	negative_c
PLCL2	negative_c
LINC00599	negative_c
MIR499A	negative_c
FHL3	negative_c
SNN	negative_c
ASXL1	negative_c
JAG1	negative_c
ACSM4	negative_c
PGD	negative_c
JARID2	negative_c
PLXDC2	negative_c
CA2	negative_c
LEMD1	negative_c
SUN1	negative_c
CCNJL	negative_c
TEX21P	negative_c
C19ORF12	negative_c
NETO1	negative_c
EPHB4	negative_c
DIP2B	negative_c
FREM1	negative_c
KLF7	negative_c
EXOSC8	negative_c
MKNK1-AS1	negative_c
PDGFRB	negative_c
TM2D3	negative_c
TRIM13	negative_c
LOXL1	negative_c
LOC100133301	negative_c
PMM1	negative_c
AAK1	negative_c
JMJD7-PLA2G4B	negative_c
RBP3	negative_c
LEMD1-AS1	negative_c
ABCA10	negative_c
INSL5	negative_c
CCDC60	negative_c
H2AFV	negative_c
OVCH2	negative_c
NF2	negative_c
LOC100506533	negative_c
OGG1	negative_c
WDR37	negative_c
ZNF577	negative_c
NFRKB	negative_c
RNF11	negative_c
MIR4648	negative_c
UBR2	negative_c
TMEM106B	negative_c
PLEKHM3	negative_c
CSAD	negative_c
RRN3P1	negative_c
TTC19	negative_c
ZNF697	negative_c
CALCOCO1	negative_c
SLC1A3	negative_c
LEF1	negative_c
TRIB2	negative_c
SIDT2	negative_c
EEPD1	negative_c
NRG1	negative_c
LOC100506025	negative_c
LGALS4	negative_c
BMPR2	negative_c
ZNF423	negative_c
HACE1	negative_c
NRP2	negative_c
LOC100130557	negative_c
ZZZ3	negative_c
SPATS2	negative_c
PROS1	negative_c
CALHM3	negative_c
TMX4	negative_c
KIAA1984	negative_c
PGBD1	negative_c
SLCO2B1	negative_c
POLDIP3	negative_c
RXRB	negative_c
EEA1	negative_c
RTN4	negative_c
EDNRA	negative_c
UPF3A	negative_c
EVL	negative_c
FBXO10	negative_c
EFNA2	negative_c
ZNF37BP	negative_c
OS9	negative_c
CELF4	negative_c
EGFL8	negative_c
ENOX1	negative_c
RASA4CP	negative_c
FAM53C	negative_c
CTNND1	negative_c
NACAD	negative_c
NOTCH3	negative_c
TAX1BP3	negative_c
JMJD7	negative_c
KBTBD6	negative_c
HIBCH	negative_c
SLC22A14	negative_c
FAM22A	negative_c
AP1B1	negative_c
C1RL-AS1	negative_c
THAP3	negative_c
MRC2	negative_c
IP6K1	negative_c
FBLN7	negative_c
EYA4	negative_c
ZNF547	negative_c
DGCR8	negative_c
SLC25A23	negative_c
ZCCHC14	negative_c
HCRT	negative_c
IGF2BP2	negative_c
PLA2G4B	negative_c
PAM	negative_c
PRDM6	negative_c
DLGAP3	negative_c
ZSWIM6	negative_c
ONECUT2	negative_c
PCDH12	negative_c
NMRK1	negative_c
SLC25A11	negative_c
C10ORF118	negative_c
EPS8	negative_c
ARIH1	negative_c
MYLK	negative_c
TMOD3	negative_c
LOC100505754	negative_c
ARHGEF1	negative_c
GLI3	negative_c
SLC1A2	negative_c
ADAMTS9-AS1	negative_c
CDC42EP1	negative_c
SDF4	negative_c
LDLRAD2	negative_c
TMIE	negative_c
VPREB1	negative_c
MST1L	negative_c
SPAG9	negative_c
PPP3CC	negative_c
BST1	negative_c
ARHGAP6	negative_c
ALMS1P	negative_c
CYP46A1	negative_c
CSF1R	negative_c
LOC728392	negative_c
LOC90834	negative_c
ATXN10	negative_c
YARS	negative_c
SCRN3	negative_c
DMXL2	negative_c
ANO6	negative_c
RASD1	negative_c
TRMU	negative_c
HOXB9	negative_c
MIR378H	negative_c
TMEM191B	negative_c
GRIN3B	negative_c
SLC35A1	negative_c
FAM134C	negative_c
NPFF	negative_c
SLC30A4	negative_c
ME3	negative_c
LCA5L	negative_c
MRAS	negative_c
NFIA	negative_c
HDAC1	negative_c
ADCY10	negative_c
LUC7L3	negative_c
GOLM1	negative_c
LOC100506504	negative_c
SLIT2	negative_c
STK39	negative_c
POTEJ	negative_c
OSBPL6	negative_c
SPINK13	negative_c
C1QTNF6	negative_c
SOBP	negative_c
ACAA1	negative_c
GOLGA6L9	negative_c
GIPC2	negative_c
SNORD116-24	negative_c
NPHP3	negative_c
AQP4-AS1	negative_c
KLHL11	negative_c
KLRC3	negative_c
COL6A6	negative_c
PPP1R3G	negative_c
PITPNA	negative_c
SPAG5-AS1	negative_c
SEMA4C	negative_c
TFEC	negative_c
WISP3	negative_c
VHL	negative_c
ARHGAP27	negative_c
PLAT	negative_c
ATP13A4	negative_c
YAP1	negative_c
GPR161	negative_c
TMEFF2	negative_c
IQGAP2	negative_c
SSFA2	negative_c
VRK2	negative_c
MVK	negative_c
ODF4	negative_c
ZBTB48	negative_c
SPIN1	negative_c
ZBED3	negative_c
MARK4	negative_c
CAPS2	negative_c
AP2B1	negative_c
PMEPA1	negative_c
MARCH4	negative_c
DNAJC27	negative_c
PHLDB2	negative_c
SLC22A5	negative_c
DDX26B	negative_c
CYB5D1	negative_c
MORC2	negative_c
SH3GL1P1	negative_c
GLTPD1	negative_c
APOC2	negative_c
FYCO1	negative_c
EBI3	negative_c
GALT	negative_c
ITFG2	negative_c
PKIA	negative_c
APOC4-APOC2	negative_c
SLC46A3	negative_c
IFNGR1	negative_c
GPBP1L1	negative_c
SLC24A5	negative_c
LOC100507136	negative_c
C5ORF63	negative_c
NELL2	negative_c
LOC100134259	negative_c
CDH5	negative_c
NOL9	negative_c
SERINC2	negative_c
FBN1	negative_c
KCNAB2	negative_c
TTLL7	negative_c
PTAFR	negative_c
GOPC	negative_c
EYA3	negative_c
LOC100289509	negative_c
PCDHB13	negative_c
GTF2I	negative_c
DPEP1	negative_c
FBXL3	negative_c
PAN2	negative_c
SEPT4	negative_c
LOC100144604	negative_c
FABP5	negative_c
CLEC7A	negative_c
HS6ST3	negative_c
CATSPER2	negative_c
GIGYF2	negative_c
LRIG1	negative_c
OLFML1	negative_c
CTSH	negative_c
ANO1	negative_c
FOXS1	negative_c
C1ORF50	negative_c
PDXP	negative_c
MYLK-AS1	negative_c
SNX1	negative_c
PTCHD1	negative_c
MLL	negative_c
SNORA61	negative_c
TGFBI	negative_c
KLHL22	negative_c
THBS2	negative_c
TMEM44	negative_c
ZMYM1	negative_c
PHYHIP	negative_c
LOC100507489	negative_c
PARD3	negative_c
GPR158	negative_c
NEBL-AS1	negative_c
LOC285758	negative_c
MED13L	negative_c
ACTB	negative_c
LOC100507284	negative_c
ETV2	negative_c
MED8	negative_c
LINC00174	negative_c
WLS	negative_c
CD109	negative_c
ARVCF	negative_c
PROZ	negative_c
CALCRL	negative_c
LOC100128028	negative_c
VSIG10L	negative_c
MLH1	negative_c
LOC100128059	negative_c
PRY2	negative_c
KLHL4	negative_c
SNHG12	negative_c
STAT4	negative_c
FNDC9	negative_c
RIOK3	negative_c
ARMC2	negative_c
KIAA1462	negative_c
SCAF8	negative_c
BASP1	negative_c
ZMYM6	negative_c
LAMB4	negative_c
COL5A1	negative_c
ACSS2	negative_c
ST3GAL5	negative_c
ASTN1	negative_c
NECAP2	negative_c
NRADDP	negative_c
MIR149	negative_c
STARD3	negative_c
LATS2	negative_c
MRPS5	negative_c
DYSF	negative_c
NAA16	negative_c
ELP5	negative_c
SNRNP70	negative_c
NYAP1	negative_c
LOC338667	negative_c
FOXO3B	negative_c
MIR770	negative_c
CLIP1	negative_c
CCDC102B	negative_c
TEAD2	negative_c
NPAS3	negative_c
PRY	negative_c
TENC1	negative_c
RBM33	negative_c
MIR628	negative_c
PIP5K1B	negative_c
CALHM2	negative_c
AQP4	negative_c
DLG1	negative_c
PLXND1	negative_c
KIAA0226	negative_c
DARC	negative_c
HEYL	negative_c
LOC100509290	negative_c
CBL	negative_c
UBR1	negative_c
ATN1	negative_c
MIR548N	negative_c
NID2	negative_c
LINGO2	negative_c
FOXD1	negative_c
LOC100506730	negative_c
MIR137	negative_c
GMIP	negative_c
TRPS1	negative_c
DOCK3	negative_c
FLJ42709	negative_c
ADAMTS12	negative_c
TBC1D2B	negative_c
SLC26A10	negative_c
LOC100507747	negative_c
RASSF1	negative_c
APOBR	negative_c
TCF25	negative_c
KCTD10	negative_c
KIAA0247	negative_c
TMX2-CTNND1	negative_c
EIF4ENIF1	negative_c
HCK	negative_c
GPX8	negative_c
MAPK8IP3	negative_c
FBXL7	negative_c
NMNAT1	negative_c
CYP21A1P	negative_c
DCLRE1CP1	negative_c
NBPF9	negative_c
MIR143HG	negative_c
ARHGAP32	negative_c
HHLA1	negative_c
TOP2B	negative_c
ZNF70	negative_c
TAS2R19	negative_c
LURAP1	negative_c
GNMT	negative_c
EHF	negative_c
PLEKHA5	negative_c
GSTM1	negative_c
MFN2	negative_c
LYSMD4	negative_c
ZNF117	negative_c
BMPR1B	negative_c
SIGLEC10	negative_c
SLC2A9	negative_c
FNDC3A	negative_c
CADPS	negative_c
SLC13A4	negative_c
SLC41A2	negative_c
PALM3	negative_c
MUM1	negative_c
IGDCC4	negative_c
ERBB3	negative_c
TSTD2	negative_c
FRY-AS1	negative_c
RPL21P44	negative_c
LMBRD1	negative_c
RBM6	negative_c
PPARD	negative_c
BZRAP1	negative_c
GS52	negative_c
L3MBTL2	negative_c
SLC30A10	negative_c
PURG	negative_c
CELF5	negative_c
ALS2CR8	negative_c
LINC00684	negative_c
MYO6	negative_c
LOC100129098	negative_c
NCS1	negative_c
C17ORF66	negative_c
POU2F1	negative_c
SPATA12	negative_c
KMO	negative_c
FRA10AC1	negative_c
NPL	negative_c
DMTF1	negative_c
