#hugo	exprssn_associated_to_larger_survival
HIST1H2AM	high
RPS29	high
SNORD80	high
RPS6KA6	high
MGA	high
HAUS3	high
UBE2I	high
STT3B	high
SLN	high
ZNF285	high
MOCS3	high
ISLR2	high
RPL13A	high
RPL37	high
NUCKS1	high
TMPRSS15	high
CPLX1	high
TIMM10	high
SLC33A1	high
GYS1	high
LOC401127	high
FSCB	high
GNPAT	high
C1ORF27	high
THTPA	high
DUS1L	high
TMEM68	high
FLAD1	high
NDUFV1	high
C17ORF96	high
CCRN4L	high
SLC35A2	high
CKAP2L	high
WDR54	high
KCNC1	high
MIR7-3HG	high
TUBB4B	high
RPL34	high
GAS5	high
LOC100506661	high
MTHFD1L	high
SNRPB2	high
ZNF530	high
EXOSC4	high
POLR2L	high
UBAC2	high
TMEM183B	high
EIF3D	high
RBM3	high
VPS72	high
OR11H12	high
C12ORF52	high
SYS1	high
ARHGEF2	high
ZNRD1	high
COPS4	high
ANAPC7	high
TMEM206	high
EFCAB11	high
MYCBP	high
HTATSF1	high
MRPS9	high
FBXO34	high
ZNF440	high
SGTA	high
ZNF45	high
C5ORF34	high
ASNA1	high
DIEXF	high
MED28	high
PTTG1IP	high
DEPDC4	high
C9ORF163	high
C20ORF111	high
TIGD6	high
RAD51C	high
RPS14	high
GAN	high
MYB	high
GEMIN5	high
RPL39L	high
F8A3	high
F8A2	high
MMADHC	high
BFAR	high
AUNIP	high
SEC61B	high
ABCF2	high
ZNF664-FAM101A	high
CEBPZ	high
CLMP	high
MRPL46	high
FAM96B	high
ZNF837	high
PFAS	high
FBXO17	high
WDR3	high
C7ORF49	high
LOC442075	high
OR7E12P	high
DAP3	high
C8ORF59	high
ZNF669	high
LOC731282	high
UQCRC2	high
FANCD2OS	high
DCUN1D4	high
WDR35	high
HM13	high
SF3B5	high
PATL1	high
PRR20E	high
PRR20D	high
TTC9C	high
PRR20C	high
PRR20B	high
PRR20A	high
SDHC	high
OR1L3	high
EIF2C2	high
PPIB	high
UBXN2A	high
SLC25A6	high
PAQR4	high
SKIV2L2	high
RAD23A	high
LOC440157	high
RNF150	high
ZNF569	high
WFDC2	high
SRP54	high
FAM127B	high
C9ORF116	high
SLC25A24	high
ACP1	high
TSTA3	high
AP5M1	high
LOC646903	high
PINX1	high
UBE2G2	high
CCDC85B	high
PIP5K1A	high
B4GALT4	high
THAP6	high
EFTUD1	high
HSD17B11	high
COX7C	high
MYNN	high
TFRC	high
PPEF1	high
TMX1	high
MCM7	high
BRCC3	high
C9ORF69	high
LINC00645	high
PMPCB	high
HIGD2A	high
SPRED3	high
ASUN	high
FZD2	high
SYNPO2	high
WDR26	high
LOC100507560	high
LOC401180	high
C8ORF76	high
RCL1	high
TTF1	high
KCTD8	high
UBE2V1	high
LOC100288637	high
ARG2	high
USP10	high
WNT3A	high
POLR2E	high
PQBP1	high
GALNT7	high
OR7E5P	high
ALDH3B2	high
RNF126P1	high
C3ORF14	high
CMC1	high
BPIFB1	high
RNPS1	high
ANKS6	high
STK24	high
RTKN2	high
GINS3	high
COMMD8	high
FAM110A	high
PSMD7	high
LOC100288568	high
MAGEA9B	high
MAGEA9	high
SPTLC2	high
ZNF574	high
RPL24	high
AIP	high
ZNF26	high
RPS9	high
ZNFX1-AS1	high
IDE	high
BCAP31	high
IGBP1	high
ETAA1	high
ATF6	high
UBE2K	high
SLC35G2	high
NBAS	high
LINC00112	high
RDH14	high
PPP5C	high
ATP5F1	high
CCDC18	high
TCOF1	high
PCOLCE-AS1	high
ERCC2	high
RIPPLY2	high
RAB28	high
SLCO5A1	high
FOXA2	high
DUSP4	high
GUCY2D	high
TMEM74B	high
PIK3R4	high
GNB2L1	high
C12ORF66	high
PSMB1	high
INTS5	high
COASY	high
UTP18	high
RPL13AP6	high
FGF20	high
ATP10D	high
SLC25A10	high
ZNF812	high
OPA1	high
HDDC2	high
TMEM223	high
LINC00624	high
SLC1A6	high
DSCR8	high
NUP160	high
TRMT61B	high
HAUS6	high
CCNK	high
HRASLS	high
F8A1	high
ADH5	high
KCNMB3	high
ATP5G1	high
PHF17	high
API5	high
TMX2	high
ILF3	high
IGBP1P1	high
LOC100508408	high
OR56A3	high
NSUN3	high
ARL6IP1	high
OXA1L	high
CHID1	high
ZNF486	high
RFESD	high
LOC645249	high
SLC3A2	high
EIF3H	high
SLC30A9	high
TAF1D	high
LOC392232	high
ATP5O	high
PSMA5	high
CCDC41	high
TPRKB	high
MPHOSPH9	high
ZNF616	high
ALKBH7	high
CLEC4F	high
CFHR4	high
GJA9-MYCBP	high
SNX6	high
LRRC9	high
PSMD13	high
MFSD11	high
FOXI3	high
ASRGL1	high
MCCC2	high
RCN1	high
ETF1	high
PRPS2	high
SLC19A2	high
LINC00838	high
RSL24D1	high
CYFIP1	high
ASB13	high
NDUFA9	high
FOXC1	high
NDUFB6	high
MAP2K6	high
LRP3	high
RPL14	high
GDAP2	high
AXIN2	high
DTNBP1	high
RNPEP	high
FANCA	high
LINC00588	high
ZWILCH	high
FBXL21	high
ZNF77	high
CDCA8	high
IGFL1	high
PRPF18	high
AIDA	high
ZNF525	high
MIR7-3	high
PDP2	high
LEO1	high
DBI	high
CENPV	high
KLF1	high
POLR2D	high
ADK	high
SNORD47	high
MATN4	high
ZNF57	high
TTC26	high
MIR92A1	high
SRP9	high
CHRAC1	high
MRP63	high
PDCD10	high
FAM99B	high
C16ORF91	high
DCLRE1B	high
UBAC1	high
HSPBP1	high
TDP1	high
SNORA69	high
ZNF845	high
SFR1	high
ELAVL3	high
SPRED2	high
KBTBD8	high
OR11H2	high
C3ORF45	high
DYDC1	high
TEX37	high
NARS	high
OR1J4	high
TPRN	high
C20ORF27	high
SNORD58B	high
CSTF2T	high
RPL5	high
STRAP	high
FAM225B	high
OR1J1	high
PIGX	high
IGFBP2	high
TMPO	high
MIR636	high
GLP1R	high
CYB5B	high
LOC340074	high
C21ORF119	high
EPPIN	high
CHERP	high
PTCH1	high
TBX5-AS1	high
TBRG4	high
ZNF672	high
ZNF263	high
TIGD7	high
PRAMEF20	high
ZNF496	high
RBM46	high
ANKRD19P	high
KIAA1958	high
DDB2	high
MLK7-AS1	high
FAM216A	high
ISL2	high
NCR3LG1	high
C11ORF24	high
MIR4444-1	high
SOX11	high
HES6	high
ZNF678	high
INVS	high
BTBD7	high
DBR1	high
FAM101A	high
CCDC129	high
SS18L2	high
DSCR4	high
DCAF4L1	high
RPUSD4	high
UBE2NL	high
HTR1A	high
RPL31	high
SRSF7	high
MET	high
GTF2E1	high
HNRNPK	high
PTPLB	high
APH1A	high
FAM81A	high
CDKN2AIP	high
RNF26	high
NCAPD3	high
RHOBTB3	high
HIST1H3H	high
ZNF891	high
DCXR	high
LOC100129999	high
YIPF6	high
TOMM20L	high
RPL3L	high
LY6H	high
LCORL	high
CPT1C	high
GSKIP	high
BUD13	high
CFHR5	high
C19ORF70	high
ELMOD2	high
TLK1	high
SPCS1	high
SCGB1D1	high
ATG3	high
FADS2	high
GAGE5	high
PIN4P1	high
FAM208B	high
GTF2H1	high
LINC00477	high
TXNL1	high
SHMT2	high
ZBTB3	high
OR1J2	high
RPL12	high
ZNF668	high
ZNF605	high
MLLT10P1	high
TIMM21	high
ELMOD1	high
UFSP2	high
MED22	high
MSX2	high
NDUFB7	high
ZDHHC13	high
MSMO1	high
NACA	high
SLC5A6	high
LOC100506527	high
XDH	high
CARM1	high
HIST1H4I	high
GPX7	high
SEC24D	high
GABRA3	high
SAFB	high
PWP1	high
CXORF24	high
TTC1	high
CRIPT	high
SSX2B	high
CETN3	high
NKX2-8	high
PBDC1	high
VGLL1	high
NDUFB5	high
OR52E2	high
THAP4	high
TBX4	high
EXOSC1	high
HNRNPA2B1	high
BOLA3	high
LOC100128139	high
FAM19A5	high
ZC3HC1	high
ABHD10	high
MIR4705	high
LOC728040	high
RPA3	high
SLC27A2	high
PTMA	high
ROS1	high
GAGE2E	high
HIST1H1T	high
UGT8	high
CLSPN	high
PRAF2	high
BRS3	high
NDUFA2	high
UNQ6975	high
WBSCR16	high
KDM5A	high
PRAMEF15	high
ZNF8	high
ZBED4	high
FGF6	high
MIR3176	high
MMP27	high
MRPS6	high
LOC100507346	high
LOC440518	high
SLMO2	high
GGPS1	high
GLDC	high
PRAMEF21	high
SMARCA4	high
FAM201A	high
SLC6A18	high
PDIA5	high
MIR133B	high
RPL13AP20	high
HNRNPA3P1	high
PRAMEF14	high
ARHGAP17	high
MIR376B	high
ZNF561	high
C7ORF10	high
LOC100131514	high
PDCD2L	high
PANK3	high
C2ORF47	high
TNFRSF10B	high
THAP9-AS1	high
OR13A1	high
MRPS11	high
CAD	high
HOXD9	high
LOC100507353	high
IFT122	high
LCMT1	high
TAF1B	high
MIRLET7A3	high
FUS	high
MIR3940	high
DMRT1	high
PRPF40A	high
PRR18	high
MIR3651	high
HDDC3	high
HMBS	high
MRPL53	high
UMOD	high
OIP5-AS1	high
SLC2A2	high
WDR46	high
SPANXC	high
ZSCAN12	high
NDUFS3	high
RPL19	high
OR1L1	high
UBE2Q1	high
NGFRAP1	high
UCHL3	high
RABL6	high
PADI6	high
SMKR1	high
HIRIP3	high
SRM	high
USP17L17	high
LMAN2	high
VPRBP	high
ATPBD4	high
HIST1H2AG	high
ZNF317	high
CDC42EP2	high
IL17RD	high
CCDC33	high
TMEM27	high
SSX1	high
GAGE12B	high
NACAP1	high
ZNF765	high
MID1IP1	high
FAM83E	high
CARD18	high
APOBEC4	high
LINC00479	high
PET112	high
RPL36A-HNRNPH2	high
HNRNPR	high
SNORA79	high
SMEK3P	high
FLJ46300	high
PJA1	high
CMC4	high
FDPSL2A	high
QPCTL	high
LOC100144597	high
ABHD6	high
POTED	high
RHOA	high
CTU1	high
SNORA26	high
NOX1	high
H2BFM	high
EEF1E1-MUTED	high
PRAMEF9	high
C3ORF67	high
NEUROG1	high
CLRN2	high
MIR25	high
E2F5	high
BLOC1S4	high
MRPL19	high
ART5	high
SNORA36B	high
ZNF582	high
CT45A2	high
SFPQ	high
MIR1285-2	high
TRPM7	high
PSG9	high
LOC653375	high
PLS1	high
TBCK	high
LOC100507274	high
LOC254559	high
GAGE13	high
ATP5L	high
C11ORF70	high
GLTSCR2	high
HIST1H3D	high
PRAMEF13	high
NOTO	high
SNF8	high
SNX22	high
PRAMEF2	high
PHKB	high
TLX1	high
LOC100507559	high
LOC150051	high
PRAMEF1	high
HAUS2	high
VPS37C	high
SENP5	high
FAM58BP	high
ZHX1-C8ORF76	high
MAGEB4	high
ARMC7	high
PM20D2	high
NDUFA3	high
MRPS18A	high
SETD3	high
SIM1	high
DDB1	high
LHX3	high
LOC400879	high
BTN1A1	high
BCKDHA	high
TTTY23B	high
TTTY23	high
RPS8	high
SPAG11A	high
LRTOMT	high
NUP133	high
LOC100130155	high
CLK2	high
BMS1	high
COA1	high
SLC29A3	high
USMG5	high
PARD6A	high
CYC1	high
ADSL	high
CTCF	high
MDP1	high
PAPD7	high
HIST3H2A	high
ZNF689	high
OR52B6	high
GAGE8	high
VGLL2	high
HNRNPH2	high
KCNT2	high
DET1	high
RAE1	high
ZNF610	high
SMARCD2	high
CCNG1	high
MIR3170	high
MIR3913-2	high
MIR3913-1	high
NUP35	high
OR5M11	high
PLEKHJ1	high
RFC2	high
DUS3L	high
CACNG6	high
SNORD65	high
MNS1	high
PRKCSH	high
ZNF621	high
PRM1	high
OFCC1	high
RPL30	high
DDX47	high
MTERF	high
GPR19	high
APTX	high
C21ORF54	high
MIR200A	high
TIGD1	high
ZNF670	high
MIR497	high
MEPE	high
TCERG1	high
KRTAP10-12	high
ATP6V1G3	high
NSL1	high
FAM90A27P	high
FLJ20021	high
CACTIN-AS1	high
MGC34800	high
NUBPL	high
HMGB1	high
NEGR1-IT1	high
DSTNP4	high
HSP90B1	high
ZCCHC3	high
MIR19B1	high
POLR2F	high
WDR83OS	high
LOC255167	high
MIR18A	high
PDCL	high
MIR4729	high
ILF3-AS1	high
ARL14EP	high
CHDH	high
LOC150197	high
MAGEA4	high
ZNF579	high
OR5W2	high
PRAMEF22	high
LOC728715	high
NGDN	high
MIR1179	high
FLJ44313	high
C8ORF69	high
C2ORF81	high
GAGE4	high
MAGOHB	high
ADAT3	high
PRAMEF19	high
PRAMEF18	high
WAPAL	high
GAGE7	high
VRTN	high
ZNF506	high
SSB	high
CSNK1G2	high
PAPOLB	high
PET117	high
LINC00301	high
TMEM207	high
OR5D14	high
GPR50	high
CYP4F8	high
MIR124-2	high
POC1B	high
MBD3L4	high
SLC43A3	high
C21ORF91-OT1	high
IPO9	high
EIF5AL1	high
GOT1L1	high
MIR17	high
MIR3151	high
RDBP	high
OR51M1	high
TMED2	high
NKX2-4	high
SERBP1	high
HIST1H2BA	high
NUDT21	high
ZNF735	high
PDCL2	high
MGC16275	high
IMP4	high
PSMD12	high
SF1	high
GTF3C4	high
SNORD114-27	high
NSMCE1	high
SAA2	high
MIR557	high
KRTAP6-3	high
KRTAP20-4	high
OR11H1	high
LRRN1	high
CBX5	high
ACOT1	high
PNP	high
PRDM8	high
C7ORF62	high
DEFB103B	high
MIR2276	high
OR2T35	high
ANP32D	high
OR4C6	high
TAF6L	high
ELSPBP1	high
MRGPRX4	high
NUDT9	high
LOC285547	high
GPR6	high
HIST1H3B	high
MIR4497	high
ZNF410	high
LOC100507221	high
TXNL4B	high
PET100	high
GPR63	high
MBD3L3	high
MIR323B	high
HOMER1	high
SEC61G	high
KIAA1429	high
OR8I2	high
RPL8	high
NUCB2	high
SSX2	high
IFNA6	high
DHCR7	high
TAAR9	high
CXORF64	high
GCHFR	high
MIR1825	high
NKX2-1	high
MIR181A2	high
TSN	high
SCGB1D4	high
LEUTX	high
JRK	high
FIGLA	high
LINC00308	high
CCER1	high
CWF19L1	high
FAM105B	high
MIR4504	high
ZIK1	high
KRTAP10-7	high
LOC100506827	high
EPRS	high
OR4M1	high
SEPT11	high
MIR664	high
KRTAP19-5	high
HOXD13	high
LOC392364	high
NCBP1	high
GAGE12J	high
LOC441666	high
C12ORF29	high
KRTAP10-2	high
KRTAP1-1	high
PTCHD3	high
PHF5A	high
PTGES3	high
MRGPRG	high
NKX2-1-AS1	high
MRPL43	high
CRISP1	high
XAB2	high
H2BFWT	high
FCF1	high
LOC646813	high
AQR	high
BARD1	high
OR10G7	high
SNAR-H	high
SNORA11C	high
ZNF816	high
DAOA-AS1	high
CLTA	high
CXORF61	high
ZNF771	high
APOPT1	high
LINC00474	high
USP17L20	high
MIR345	high
MIR373	high
SEPHS1	high
RNASEH2C	high
SHISA2	high
MYH4	high
C12ORF75	high
PSMD2	high
MIR1185-2	high
OR2AG1	high
MTMR2	high
KATNA1	high
NKX2-3	high
C19ORF47	high
MIR192	high
LINC00029	high
ERVMER34-1	high
LOC375295	high
GPX6	high
MNF1	high
MIR301B	high
RNA5S9	high
OR10A2	high
POTEA	high
CALU	high
SNORD115-34	high
MIR3925	high
MESP1	high
LOC63930	high
RNU5F-1	high
PAEP	high
KRT26	high
RBM15B	high
SCARNA23	high
SFTA3	high
ZNF200	high
AACS	high
TCF12	high
ZNF625-ZNF20	high
USP17L18	high
PIH1D3	high
MIR4533	high
SERPINB4	high
CST9	high
SNAR-C3	high
PRAMEF5	high
USP17L22	high
KRT76	high
MIR4633	high
TRIM51	high
SLC7A5P1	high
FANCG	high
MIR4710	high
TMCO1	high
GPN1	high
NIPA2	high
SNAR-A13	high
SNAR-A12	high
ARF6	high
CCDC15	high
ZNF649	high
C11ORF53	high
C18ORF12	high
C1QBP	high
PHKA2	high
MIR135A2	high
ADAM6	high
DLX6	high
KCNS2	high
CT45A4	high
SLC25A19	high
FAM197Y6	high
RNASE12	high
RQCD1	high
ZIC3	high
MCIN	high
CSN1S2BP	high
SEMG2	high
AXIN1	high
GLE1	high
CNIH	high
SENP3-EIF4A1	high
OR5AN1	high
SF3A3	high
SYT16	high
ZNF721	high
RPP14	high
GJA10	high
DCLRE1C	high
FTHL17	high
PRAMEF3	high
KREMEN2	high
ZNF85	high
HSD17B6	high
MIR519B	high
MIR4778	high
MIR302E	high
EIF3A	high
DAOA	high
MIF	high
DCAF11	high
FAM47B	high
MUC21	high
KRTAP11-1	high
MIR329-1	high
MIR133A2	high
MIR4755	high
RNASE9	high
MIR3118-4	high
PIP5K1P1	high
SDF2L1	high
IFT57	high
MIR4287	high
HSPA9	high
MYH8	high
MSH2	high
SCARNA22	high
TTTY11	high
OR13C3	high
HOTTIP	high
MIR3667	high
IL36B	high
LOC401497	high
POMP	high
IGFL2	high
C17ORF72	high
LOC100505543	high
LOC100507803	high
FRAT2	high
DEFB103A	high
RNF7	high
IMPA2	high
MIR1278	high
PIGC	high
MIR548B	high
CDV3	high
LOC100505596	high
NLRP13	high
MIR1184-3	high
MIR1184-2	high
MIR1184-1	high
ITSN1	high
SNORD115-3	high
ZNF749	high
OR1N2	high
NKPD1	high
RPL32	high
LHX5	high
MIR618	high
LOC100508631	high
USP17L21	high
LOC285423	high
MZT1	high
PRG1	high
LOC728012	high
ATRIP	high
ZNF702P	high
DEFB123	high
MRPL48	high
PTDSS2	high
HBQ1	high
AGR3	high
VSX1	high
SPRR2D	high
SPACA7	high
MIR519A2	high
ZIM3	high
MIR3137	high
ERVV-2	high
MIR1269A	high
SPANXB1	high
PRAMEF16	high
OR6P1	high
OR6C3	high
OR51T1	high
OR51G2	high
OR51G1	high
OR2G6	high
KRTAP19-3	high
DEFB133	high
SPANXE	high
SPANXD	high
CST9L	high
MIR548V	high
KRTAP9-7	high
SCARNA11	high
MIR361	high
C9ORF78	high
OR8J1	high
KRTAP22-2	high
DDX20	high
CSH1	high
LCE1E	high
HBE1	high
RPF2	high
CRSP8P	high
SERPINB13	high
RPL10L	high
MIR205HG	high
MIR494	high
GAD2	high
TATDN1	high
TMEM179B	high
PIR	high
MIR4305	high
LOC286059	high
OR5H2	high
MIR4493	high
HBBP1	high
OR4E2	high
MIR610	high
MIR548AL	high
MIR4465	high
MIR3668	high
C7ORF69	high
KRTAP4-5	high
FKBP1A	high
MIR582	high
MUCL1	high
SCP2D1	high
OR7A17	high
MIR885	high
MIR3689C	high
MIR194-2	high
LOC100506858	high
TTTY3B	high
TTTY3	high
OR11G2	high
MIR211	high
KRTAP3-1	high
TTTY5	high
OR8B2	high
LCE5A	high
OR52A5	high
LOC100509413	high
LOC100508046	high
LOC100506016	high
MNX1	high
OR52J3	high
MIR374A	high
MIR3160-2	high
MIR3160-1	high
LOC100507160	high
FTLP10	high
ADAM30	high
MMP26	high
MIR2052	high
ODF2	high
CCDC63	high
LOC283914	high
TXNDC12	high
PRM2	high
LOC100507210	high
USP17L15	high
WNT8B	high
MIR9-1	high
MIR548AJ2	high
FIBP	high
MBD3L5	high
MIR3660	high
GAL3ST3	high
CHCHD2	high
LOC100652994	high
KRTAP13-1	high
OPRD1	high
MAGEB18	high
KRTAP19-6	high
FEV	high
LINC00478	high
LINC00485	high
OR10H1	high
DOLPP1	high
RBM27	high
LOC400684	high
DPPA3	high
LOC100507205	high
LOC100134091	high
TMEM183A	high
KRTAP10-4	high
MAN1A2	high
OR2M2	high
MTHFSD	high
ATP5D	high
TXNRD3	high
TRAF7	high
ENAH	high
HTN3	high
TAS2R16	high
MIR4419B	high
LOC1720	high
KRTAP10-1	high
TRIM49B	high
EIF5A	high
LOC100506392	high
RAMP2	high
CT45A6	high
OR56A4	high
MIR4278	high
MIR548S	high
OR52K2	high
OR8K3	high
MIR151A	high
OR2T12	high
LINC00709	high
OR10G8	high
MS4A12	high
SNORA11B	high
MIR3912	high
REEP4	high
FAM98A	high
SLC44A1	high
GM140	high
MIR639	high
MIR20A	high
MTIF2	high
CTAGE7P	high
ISOC1	high
PRAMEF10	high
CPOX	high
KRTAP21-1	high
OR52E6	high
USP17L11	high
EPPIN-WFDC6	high
TECRL	high
UBE2U	high
CREB3L4	high
MIR429	high
MIR3664	high
OR5L2	high
ELK2AP	high
RBM28	high
OR6V1	high
NMS	high
UIMC1	high
POTEC	high
RNU105C	high
NMD3	high
FAM197Y7	high
MIR376C	high
PRC1	high
MIR485	high
MIR3185	high
EXOC6	high
LINC00536	high
MIR7-2	high
AFM	high
SRGAP2	high
LOC388796	high
PRAMEF23	high
TRIM54	high
EIF4A1	high
MIR147A	high
CWH43	high
IFNA13	high
USP21	high
MIR129-2	high
LOC286177	high
CYP1A1	high
LOC154872	high
OR9G4	high
RBMY2EP	high
LOC100505983	high
LOC643486	high
FLJ25328	high
UGT2B28	high
SSX7	high
LOC100509315	high
SNORD115-35	high
CGB1	high
OBP2A	high
MIR567	high
LONP2	high
CBX2	high
SNORA84	high
OR6C68	high
MIR4314	high
DEFB107B	high
DEFB107A	high
LOC100131174	high
LOC100507336	high
LGALS14	high
MIR613	high
SNAR-F	high
MIR1261	high
BANF2	high
SMO	high
NANOGNB	high
MIR146B	high
MIR543	high
SCGB1D2	high
SPINT4	high
LRRC61	high
ADAM18	high
SMC2	high
OR51B2	high
OR10V1	high
MXD3	high
ASCL1	high
CSHL1	high
MIR544A	high
MIR511-2	high
LINC00550	high
MIR511-1	high
MIR380	high
KLK8	high
MRPL37	high
PEX5L	high
UNCX	high
LINC00113	high
LOC401357	high
APOBEC1	high
DNAJB5	high
FAM86EP	high
GABRA6	high
ZYG11A	high
ISG20L2	high
LGALS16	high
OR4C15	high
KRTAP4-2	high
MIR3714	high
GPR26	high
DYDC2	high
MIR598	high
ANKRD36BP2	high
MIR320C2	high
LOC100131131	high
MUC5AC	high
KRTAP9-2	high
KRTAP19-8	high
MIR378D1	high
C9ORF117	high
LINC00703	high
DSCR10	high
SMG8	high
MIR1302-7	high
OR4D6	high
GEMIN8	high
HOXD8	high
PRKCI	high
MIR548H3	high
MYEOV2	high
ANGEL2	high
NUDT6	high
SNORA70C	high
CSH2	high
OR2T6	high
NDUFB9	high
LYZL2	high
ALDH16A1	high
TPTE	high
ZNF215	high
LOC100129935	high
MIR4436A	high
MIR3689A	high
KRT28	high
TPM2	high
TAAR8	high
USP17L12	high
XKRY2	high
TTTY9B	high
XKRY	high
RAD23B	high
TTTY9A	high
OR52E8	high
MIR154	high
KRTAP20-2	high
HOXB-AS5	high
FERMT2	high
OR4K2	high
FAM197Y9	high
SPIN2A	high
ARSG	high
LOC100505947	high
LOC100506273	high
DEFB126	high
YPLR6490	high
MIR16-1	high
LOC100506997	high
LOC100291699	high
RNY3	high
LOC286135	high
FGF21	high
OR56A1	high
CT64	high
CRB2	high
PLAC1L	high
SEPHS2	high
LOC729121	high
ADAM3A	high
KRTAP10-10	high
LOC100506122	high
MIR487A	high
GLT6D1	high
MIR4283-2	high
MIR4283-1	high
TTTY20	high
FAM138D	high
MIR382	high
KRTAP13-3	high
KRTAP13-2	high
OR10A5	high
VENTXP1	high
GK2	high
OR8H2	high
OR8G1	high
MIR3166	high
MIR200B	high
REG1P	high
CHD7	high
UBE2DNL	high
OR4N2	high
PADI3	high
MARC1	high
EIF1AX	high
AADACL3	high
LIX1	high
KRT4	high
FAM99A	high
GAGE12F	high
ZNF107	high
ZIC5	high
LOC100287399	high
SPATA24	high
ST6GALNAC4	high
TPT1	high
MIR26A1	high
NPVF	high
PROP1	high
PROK2	high
CSRP2BP	high
TUBA3C	high
MRFAP1	high
RBL1	high
MED12	high
CDYL	high
CHDC2	high
PGRMC1	high
CTSL3	high
MIR3689D2	high
LOC100506530	high
PRAMEF11	high
PSAPL1	high
LOC645359	high
TAF9B	high
GML	high
SNORD116-10	high
OR10P1	high
MIR629	high
SPATA3	high
OPN1LW	high
ABRACL	high
MIR4468	high
MIR4703	high
FAM197Y4	high
TOP3B	high
PLD6	high
LOC100506272	high
TBC1D14	high
NKAPP1	high
OR4A16	high
MIR3616	high
IMMP1L	high
KRTAP10-8	high
MED6	high
C8ORF22	high
LOC100128131	high
CST8	high
EHMT2	high
OR52E4	high
CHIAP2	high
MED17	high
UGT2B15	high
MIR4676	high
LOC100507461	high
LOC284889	high
MUC22	high
LINC00314	high
IVL	high
WFDC9	high
TTTY4C	high
TTTY4B	high
TTTY4	high
TTTY19	high
TTTY12	high
TMCO5A	high
TCHHL1	high
TAAR2	high
SPANXN5	high
SPANXN4	high
C12ORF10	high
LOC100505853	high
SNORD115-7	high
SNORD115-47	high
SNORD115-38	high
SNORD115-24	high
SNORD113-8	high
SNORA73B	high
SNAR-I	high
SNAR-C5	high
SNAR-C4	high
SNAR-C2	high
SNAR-C1	high
SERPINA7	high
SDR16C6P	high
RNY5	high
RNY4	high
RAB9BP1	high
PRM3	high
CCDC179	high
PRAC	high
POM121L12	high
PLA2G2E	high
OR9Q2	high
OR9K2	high
OR9I1	high
GAGE12H	high
OR9G9	high
OR9G1	high
OR8U9	high
OR8U8	high
OR8U1	high
MIR4426	high
OR8K5	high
OR8K1	high
SNORD115-33	high
OR8J3	high
OR8H3	high
OR8G2	high
OR8D2	high
OR8B4	high
OR7G2	high
OR7C2	high
OR6Q1	high
OR6N2	high
OR6K6	high
OR6K2	high
MIR377	high
OR6C76	high
LOC100506865	high
MIR15A	high
OR6C70	high
OR6C65	high
OR6C6	high
OR6C4	high
OR6C2	high
OR5T3	high
OR5T1	high
LOC100131138	high
OR5M9	high
SNAR-G1	high
OR5M8	high
OR5M3	high
OR5M10	high
OR5M1	high
OR5L1	high
OR5K4	high
OR5J2	high
OR5I1	high
OR5H15	high
OR5H14	high
OR5D13	high
OR5B17	high
OR5AS1	high
OR5AP2	high
CSN2	high
OR5A2	high
OR52R1	high
OR52M1	high
OR52A1	high
OR51V1	high
OR51S1	high
OR51L1	high
OR51D1	high
OR51A4	high
OR51A2	high
OR4X1	high
OR4S2	high
HRG	high
OR4S1	high
RETNLB	high
OR4P4	high
OR4L1	high
OR4K5	high
OR4K17	high
C16ORF13	high
OR4K15	high
OR2M5	high
OR4K14	high
OR4K13	high
OR4D11	high
OR4C46	high
OR4C45	high
OR4C16	high
OR4C12	high
OR4B1	high
OR4A5	high
OR4A15	high
OR2T29	high
OR2T11	high
OR2T1	high
OR7G3	high
OR2J2	high
OR1S1	high
OR51Q1	high
OR14J1	high
OR12D3	high
JAM3	high
OR10Z1	high
OR10X1	high
OR10S1	high
OR10K2	high
C17ORF112	high
OR10J5	high
OR10J1	high
OR10H4	high
PALD1	high
OR10H3	high
OR10H2	high
OR10C1	high
OR10AG1	high
OR10A7	high
OR10A6	high
OR10A3	high
VN1R4	high
NKX2-6	high
MIR3545	high
MTRNR2L7	high
MIR203	high
MRGPRX1	high
MIR372	high
LOC100506238	high
MORC1-AS1	high
MIRLET7F2	high
MIRLET7A2	high
MIR99A	high
MIR96	high
MIR934	high
MIR92A2	high
MIR924	high
MIR892A	high
MIR891B	high
MIR891A	high
OR4K1	high
WDR18	high
MIR890	high
MIR888	high
MIR802	high
MIR660	high
MIR605	high
MIR653	high
HNRNPUL2	high
MIR652	high
MIR627	high
MIR625	high
MIR619	high
MIR603	high
MIR587	high
MIR577	high
MIR551B	high
DEFB125	high
MIR548M	high
SCGB2A1	high
HPRT1	high
MIR548H5	high
MIR548H2	high
OR2A5	high
MIR548F4	high
MIR548F2	high
MIR548AJ1	high
MIR548AI	high
MIR548AG1	high
MIR548AE2	high
MIR548AE1	high
MIR548AD	high
MIR548AB	high
MTFR1	high
MIR548A3	high
MIR548A1	high
CTXN3	high
MIR532	high
MIR527	high
MIR526B	high
MIR526A2	high
MIR526A1	high
MIR525	high
MIR524	high
MIR523	high
MIR522	high
MIR521-2	high
MIR521-1	high
MIR520G	high
MIR520F	high
MIR520E	high
MIR520D	high
MIR520B	high
MIR520A	high
OR4F4	high
MIR519E	high
MIR519D	high
MIR519C	high
MIR519A1	high
MIR518F	high
MIR518E	high
XXYLT1	high
MIR518C	high
MIR518B	high
MIR518A2	high
MIR518A1	high
MIR517C	high
