#hugo	exprssn_associated_to_larger_survival
PSMC3	high
PES1	high
RFC4	high
TFAP4	high
ERI1	high
TACC3	high
SDAD1	high
ZNF219	high
SUV39H1	high
LSG1	high
CLPP	high
NOP58	high
CDT1	high
GJC1	high
PPA2	high
CEP152	high
HNRNPM	high
RRP1B	high
FAM96A	high
FBXO8	high
CMSS1	high
RASL10B	high
SMPDL3B	high
PRELID1	high
MCCC1	high
PIGA	high
NME1	high
H2AFX	high
IPO11	high
NAP1L1	high
HNRNPA1L2	high
C11ORF83	high
UXT	high
HINT1	high
TIGD2	high
G3BP1	high
MYBL2	high
WDR5B	high
ESCO2	high
ARF4	high
RRP9	high
SGOL2	high
MCM6	high
DTL	high
SKA1	high
OAZ3	high
PA2G4P4	high
SPC25	high
NIF3L1	high
CCDC138	high
DNMT1	high
EIF3M	high
THAP9	high
RRS1	high
UTP20	high
HADH	high
C19ORF10	high
CHEK1	high
NDUFB11	high
YIF1A	high
NDUFA11	high
ZBTB9	high
UBL4A	high
XPO5	high
SLC35G1	high
ADO	high
LDHB	high
SNRPG	high
RPUSD1	high
GEMIN7	high
MIR3658	high
HPDL	high
SHCBP1	high
HCCS	high
DBF4	high
CNOT1	high
UMPS	high
POLD2	high
MACROD1	high
RPL22L1	high
RAD51	high
GABRA5	high
HMGB2	high
CSRP2	high
AEN	high
EXOSC5	high
GMNN	high
EIF3F	high
C10ORF2	high
MTFP1	high
UBA52	high
PAM16	high
TMEM194A	high
CNBP	high
MRPS34	high
SQLE	high
C14ORF142	high
GINS2	high
GMDS	high
NCAPH	high
KIF23	high
COX8A	high
AIFM1	high
STOML2	high
LRBA	high
POP7	high
TKT	high
ACN9	high
FUNDC2	high
SPG21	high
CSTF2	high
LARP7	high
RLN2	high
HAS3	high
EMC9	high
METTL14	high
UBA2	high
BUB1	high
ANP32B	high
B3GALNT2	high
BOLA2B	high
MRPL12	high
LAGE3	high
NDC80	high
CCT3	high
SAPCD2	high
DNAAF2	high
MAZ	high
ACAA2	high
SNRPA	high
MYOZ3	high
ENDOG	high
RUVBL2	high
CCDC58	high
RPL28	high
NME2	high
DPM1	high
BRIX1	high
RPS15A	high
LOC653562	high
RLIM	high
HSPD1	high
NHP2	high
NUTF2	high
NUP50	high
WDR53	high
KIF14	high
UQCR11	high
CEP78	high
BOLA2	high
POLR2H	high
RPS7	high
DDX54	high
GTF2E2	high
MBD3	high
NUP155	high
IFRD2	high
SNORA76	high
TCTN3	high
TERC	high
KIF24	high
RFC3	high
C1ORF43	high
MRPS16	high
PDIA6	high
PHF6	high
MRPL33	high
MRPL47	high
FAM86C2P	high
COPE	high
UBN1	high
WDR62	high
LOC407835	high
ILF2	high
PWP2	high
SNHG1	high
ARHGAP11B	high
WDR89	high
NAP1L4	high
CISD2	high
AIMP1	high
MRPL15	high
CCT8	high
TOMM22	high
DKFZP434J0226	high
MAFG-AS1	high
SNORD88B	high
GRWD1	high
ING2	high
EIF2B2	high
RWDD4	high
SYAP1	high
C11ORF48	high
SLC39A1	high
FADS1	high
PLRG1	high
CSTF1	high
HAUS4	high
ZNF639	high
NAT10	high
TEAD4	high
DDN	high
CDK2AP1	high
GSTCD	high
SF3B3	high
SFT2D3	high
MTHFD2	high
VBP1	high
PPP2R3C	high
ETFA	high
HJURP	high
LSM5	high
SOCS4	high
PPIL1	high
ANAPC10	high
MRPL21	high
HAUS7	high
MKI67	high
TOPBP1	high
SYNCRIP	high
EIF3B	high
LOC100288842	high
PSMD8	high
